policy,top_k,period,capital,net_cagr,gross_cagr,net_ir,max_drawdown,avg_turnover,cost_drag_annual,win_rate,n_days
fixed,30,5,1000000,0.2852020191814617,0.37310095283405076,1.0801385965494932,-0.0921072091445263,0.13274853801169592,0.06646905263157896,0.543859649122807,57
fixed,30,5,300000,0.26439071768385247,0.37310095283405076,1.0189608639182224,-0.092760734382348,0.13274853801169592,0.08286936164463338,0.543859649122807,57
fixed,10,5,300000,0.2952050575527285,0.40430073875171324,0.9639635271731305,-0.09876051560176402,0.16140350877192988,0.08105557894736844,0.5263157894736842,57
fixed,10,5,1000000,0.2952050575527285,0.40430073875171324,0.9639635271731305,-0.09876051560176402,0.16140350877192988,0.08105557894736844,0.5263157894736842,57
fixed,10,5,100000,0.2697127953862275,0.40430073875171324,0.90215897365121,-0.09981854037330629,0.16140350877192988,0.10098071533146054,0.5087719298245614,57
fixed,20,5,1000000,0.20059873366800884,0.29111701941060564,0.7847679955260559,-0.10366019924578573,0.1456140350877193,0.0730181052631579,0.5087719298245614,57
fixed,10,5,50000,0.21925638642032208,0.40430073875171324,0.7757619522017776,-0.10199417026019097,0.16140350877192988,0.14157713675293,0.5087719298245614,57
fixed,30,5,100000,0.18279277068763666,0.37310095283405076,0.767303660775383,-0.0963777022645721,0.13274853801169592,0.14980177303448375,0.5263157894736842,57
fixed,20,5,300000,0.19320070219699748,0.29111701941060564,0.7631148108912107,-0.10403160719611138,0.1456140350877193,0.07923199627615889,0.5087719298245614,57
fixed,30,2,1000000,0.16762482047726301,0.31062100886915855,0.7261186943479276,-0.09272716639643297,0.22923976608187135,0.11558694736842101,0.49122807017543857,57
fixed,30,3,1000000,0.15122077173133297,0.262471905454732,0.6960169080091678,-0.09021329053961047,0.18304093567251462,0.09206989473684211,0.543859649122807,57
fixed,30,2,300000,0.1349216126300774,0.31062100886915855,0.6162244765859001,-0.09382519345375318,0.22923976608187135,0.1439961880048225,0.49122807017543857,57
fixed,30,3,300000,0.12516337450842197,0.262471905454732,0.6019171806460425,-0.09178272845165392,0.18304093567251462,0.1149041187157438,0.543859649122807,57
fixed,20,5,100000,0.1357764891530444,0.29111701941060564,0.5894129555892526,-0.10700739916997515,0.1456140350877193,0.12872701644332357,0.5087719298245614,57
fixed,15,5,1000000,0.12068845762002645,0.20541200632173817,0.522237192232179,-0.11817177632799658,0.1456140350877193,0.0730181052631579,0.47368421052631576,57
fixed,15,5,300000,0.12043048213063234,0.20541200632173817,0.5214929684965888,-0.11818458393368003,0.1456140350877193,0.07325173990524077,0.47368421052631576,57
banded,30,1,1000000,0.0967994882634482,0.19475384754184688,0.47496601939381683,-0.09061226193812488,0.1701754385964912,0.08552084210526316,0.5263157894736842,57
fixed,15,5,100000,0.0799979535026798,0.20541200632173817,0.40142410124313505,-0.12025577770134821,0.1456140350877193,0.11005387564467684,0.47368421052631576,57
banded,30,1,300000,0.07335356238239621,0.19475384754184688,0.39499388955829146,-0.09219179450865966,0.1701754385964912,0.10712222116749372,0.5263157894736842,57
fixed,30,5,50000,0.0681029512239395,0.37310095283405076,0.3798490116786358,-0.10227228873535721,0.13274853801169592,0.25194807143303527,0.5087719298245614,57
daily,30,1,1000000,0.05692382760982295,0.24245649876729236,0.3385448268903221,-0.09845342010393088,0.3198830409356725,0.16172799999999998,0.5263157894736842,57
fixed,30,1,1000000,0.05692382760982295,0.24245649876729236,0.3385448268903221,-0.09845342010393088,0.3198830409356725,0.16172799999999998,0.5263157894736842,57
fixed,20,5,50000,0.05367597862731466,0.29111701941060564,0.32385942252938055,-0.11152224032611535,0.1456140350877193,0.20392085521184092,0.5087719298245614,57
fixed,10,3,1000000,0.04611981254157471,0.1678997469644945,0.29756188223288155,-0.10457101997451279,0.21754385964912284,0.10963326315789473,0.5614035087719298,57
fixed,10,3,300000,0.04611981254157471,0.1678997469644945,0.29756188223288155,-0.10457101997451279,0.21754385964912284,0.10963326315789473,0.5614035087719298,57
fixed,5,5,300000,0.04363120575254764,0.13825219973448077,0.29741429272588543,-0.09544524419579847,0.1736842105263158,0.08730694736842104,0.45614035087719296,57
fixed,5,5,1000000,0.04363120575254764,0.13825219973448077,0.29741429272588527,-0.09544524419579847,0.1736842105263158,0.08730694736842105,0.45614035087719296,57
fixed,5,5,100000,0.043041598177426144,0.13825219973448077,0.29591947295218296,-0.09544524419579847,0.1736842105263158,0.08788179189491249,0.45614035087719296,57
fixed,5,5,50000,0.020081491667302,0.13825219973448077,0.23711075506467358,-0.09544524419579836,0.1736842105263158,0.11025825509038628,0.45614035087719296,57
fixed,30,3,100000,0.024743521303221216,0.262471905454732,0.22015438991919972,-0.09815911266971533,0.18304093567251462,0.2080729799139405,0.543859649122807,57
fixed,15,5,50000,0.021172812707153765,0.20541200632173817,0.21830125133188463,-0.12341513679434124,0.1456140350877193,0.16607251823666305,0.47368421052631576,57
fixed,20,2,1000000,0.02009596221451515,0.16109473163984056,0.2088488776044044,-0.09246634027846734,0.25614035087719306,0.12928042105263157,0.47368421052631576,57
fixed,10,3,100000,0.01649105839253351,0.1678997469644945,0.20274590326051414,-0.10783876137972492,0.21754385964912284,0.13821330089959116,0.5614035087719298,57
fixed,10,2,1000000,0.013505442617308239,0.17352618373729434,0.19387930641593218,-0.10686790700062121,0.2894736842105263,0.14624842105263156,0.5087719298245614,57
fixed,10,2,300000,0.013505442617308239,0.17352618373729434,0.1938793064159321,-0.10686790700062121,0.2894736842105263,0.14624842105263156,0.5087719298245614,57
fixed,30,1,300000,0.01484387801433118,0.24245649876729236,0.18735420439475797,-0.10110046341390022,0.3198830409356725,0.20235020055837485,0.5263157894736842,57
daily,30,1,300000,0.01484387801433118,0.24245649876729236,0.18735420439475797,-0.10110046341390022,0.3198830409356725,0.20235020055837485,0.5263157894736842,57
fixed,20,2,300000,0.00820127418426786,0.16109473163984056,0.16722370932456213,-0.09294519650730171,0.25614035087719306,0.14099200460118644,0.47368421052631576,57
fixed,30,2,100000,0.009757264324207648,0.31062100886915855,0.16478390435626997,-0.09834930904282091,0.22923976608187135,0.2607687609277236,0.49122807017543857,57
fixed,15,2,1000000,0.004557223406451705,0.14577832442519711,0.15970863826380838,-0.09613266755307803,0.260233918128655,0.1313642105263158,0.45614035087719296,57
fixed,15,2,300000,0.003664934064024017,0.14577832442519711,0.1566800196929942,-0.0961790442060737,0.260233918128655,0.13225702746614074,0.45614035087719296,57
fixed,20,1,1000000,-0.00487909509108686,0.18520440307645392,0.13151402871432533,-0.1041639582380558,0.3456140350877194,0.17482610526315792,0.5263157894736842,57
daily,20,1,1000000,-0.00487909509108686,0.18520440307645392,0.13151402871432533,-0.1041639582380558,0.3456140350877194,0.17482610526315792,0.5263157894736842,57
fixed,20,3,1000000,-0.0001260975944219478,0.10568204035351036,0.13031308992742371,-0.0900039850179356,0.1991228070175439,0.10025621052631577,0.5263157894736842,57
fixed,20,3,300000,-0.009103978465889617,0.10568204035351036,0.09653363353656384,-0.09064306028427971,0.1991228070175439,0.10923964050030215,0.5263157894736842,57
daily,20,1,300000,-0.019827011685657592,0.18520440307645392,0.08109075822257929,-0.10514380857303007,0.3456140350877194,0.18996672364196068,0.5263157894736842,57
fixed,20,1,300000,-0.019827011685657592,0.18520440307645392,0.08109075822257929,-0.10514380857303007,0.3456140350877194,0.18996672364196068,0.5263157894736842,57
banded,30,1,100000,-0.01647601491004025,0.19475384754184688,0.07191655542625099,-0.09855202231887927,0.1701754385964912,0.19444386302140193,0.5263157894736842,57
fixed,10,2,100000,-0.025432565042142752,0.17352618373729434,0.06573573015959276,-0.11206879344392573,0.2894736842105263,0.18531300029320688,0.5087719298245614,57
fixed,15,3,1000000,-0.032602140590207274,0.07318483028332001,0.018813125202735655,-0.09927886273021169,0.20526315789473684,0.1033818947368421,0.5087719298245614,57
fixed,15,3,300000,-0.03318485917926306,0.07318483028332001,0.01666731857418493,-0.09932978817077198,0.20526315789473684,0.10398164250388395,0.5087719298245614,57
fixed,10,3,50000,-0.039830486084275085,0.1678997469644945,0.015690023876310216,-0.11423610710816245,0.21754385964912284,0.19488428459942897,0.5614035087719298,57
fixed,15,2,100000,-0.06230462916739188,0.14577832442519711,-0.0740412968468475,-0.10329580166489216,0.260233918128655,0.20011104784365302,0.45614035087719296,57
banded,20,1,1000000,-0.07934357642241896,0.02023014448913063,-0.13134846475264528,-0.11710825227149468,0.20350877192982456,0.10248884210526316,0.49122807017543857,57
fixed,20,2,100000,-0.07808010870595727,0.16109473163984056,-0.14933860349437628,-0.09860886934245738,0.25614035087719306,0.230248409072253,0.47368421052631576,57
fixed,20,3,100000,-0.07536569853767683,0.10568204035351036,-0.1613537737635379,-0.09536973164981455,0.1991228070175439,0.17814115044240098,0.5263157894736842,57
banded,20,1,300000,-0.08781577351836811,0.02023014448913063,-0.16234149406453136,-0.11772613055502523,0.20350877192982456,0.11171885078038847,0.49122807017543857,57
fixed,15,3,100000,-0.08353340180552238,0.07318483028332001,-0.17317155037518325,-0.10382797148036105,0.20526315789473684,0.15720896980258206,0.49122807017543857,57
banded,15,1,1000000,-0.09370946012051895,0.009781097911647496,-0.17822325155701202,-0.11313824049571253,0.21461988304093568,0.10814484210526318,0.543859649122807,57
banded,15,1,300000,-0.0941820078457315,0.009781097911647496,-0.17997660977073976,-0.11318719895312102,0.21461988304093568,0.1086706509393994,0.543859649122807,57
fixed,10,2,50000,-0.09772554225754415,0.17352618373729434,-0.18531550875635275,-0.12205609388516703,0.2894736842105263,0.26211845237718023,0.5087719298245614,57
daily,15,1,1000000,-0.1218299400038394,0.05532724929164878,-0.2538646145057052,-0.11896155582506496,0.36315789473684207,0.18375663157894737,0.543859649122807,57
fixed,15,1,1000000,-0.1218299400038394,0.05532724929164878,-0.2538646145057052,-0.11896155582506496,0.36315789473684207,0.18375663157894737,0.543859649122807,57
fixed,15,1,300000,-0.12255356625529679,0.05532724929164878,-0.25650911427889495,-0.1190282261453518,0.36315789473684207,0.18458837829394076,0.543859649122807,57
daily,15,1,300000,-0.12255356625529679,0.05532724929164878,-0.25650911427889495,-0.1190282261453518,0.36315789473684207,0.18458837829394076,0.543859649122807,57
fixed,10,1,300000,-0.13812106280266678,0.05165547545504823,-0.28349221977644584,-0.126263449823395,0.39298245614035093,0.19893852631578945,0.5087719298245614,57
daily,10,1,300000,-0.13812106280266678,0.05165547545504823,-0.28349221977644584,-0.126263449823395,0.39298245614035093,0.19893852631578945,0.5087719298245614,57
daily,10,1,1000000,-0.13812106280266678,0.05165547545504823,-0.2834922197764459,-0.126263449823395,0.39298245614035093,0.19893852631578948,0.5087719298245614,57
fixed,10,1,1000000,-0.13812106280266678,0.05165547545504823,-0.2834922197764459,-0.126263449823395,0.39298245614035093,0.19893852631578948,0.5087719298245614,57
fixed,20,1,100000,-0.13046976972037083,0.18520440307645392,-0.3176800515388703,-0.11279154260340474,0.3456140350877194,0.30967671340461755,0.5263157894736842,57
daily,20,1,100000,-0.13046976972037083,0.18520440307645392,-0.3176800515388703,-0.11279154260340474,0.3456140350877194,0.30967671340461755,0.5263157894736842,57
banded,10,1,1000000,-0.16299875377525663,-0.04746098623353068,-0.3540572709570204,-0.11937088492381154,0.256140350877193,0.12928042105263157,0.5263157894736842,57
banded,10,1,300000,-0.16299875377525663,-0.04746098623353068,-0.3540572709570205,-0.11937088492381154,0.256140350877193,0.1292804210526316,0.5263157894736842,57
fixed,30,3,50000,-0.11272549253729403,0.262471905454732,-0.3578168012525347,-0.1079292818614973,0.18304093567251462,0.3514070634535112,0.49122807017543857,57
banded,15,1,100000,-0.14301178900798472,0.009781097911647496,-0.36384772295205275,-0.11705340225802952,0.21461988304093568,0.16407139285276004,0.5263157894736842,57
banded,20,1,100000,-0.15010630741828868,0.02023014448913063,-0.3988006888206795,-0.12236376637430935,0.20350877192982456,0.1822747514585121,0.49122807017543857,57
banded,30,1,50000,-0.1401890215629873,0.19475384754184688,-0.42295707607342553,-0.10828884623618684,0.1701754385964912,0.32863631270246696,0.5087719298245614,57
fixed,15,2,50000,-0.15502622256258003,0.14577832442519711,-0.4257114153152805,-0.11685690577532026,0.260233918128655,0.30394692256344896,0.42105263157894735,57
daily,30,1,100000,-0.14079004645462745,0.24245649876729236,-0.43124604196924915,-0.11191156265641578,0.3198830409356725,0.368685783909977,0.5263157894736842,57
fixed,30,1,100000,-0.14079004645462745,0.24245649876729236,-0.43124604196924915,-0.11191156265641578,0.3198830409356725,0.368685783909977,0.5263157894736842,57
daily,10,1,100000,-0.1812074252714464,0.05165547545504823,-0.4376116422476061,-0.1316620080087081,0.39298245614035093,0.2501924652549497,0.5087719298245614,57
fixed,10,1,100000,-0.1812074252714464,0.05165547545504823,-0.4376116422476061,-0.1316620080087081,0.39298245614035093,0.2501924652549497,0.5087719298245614,57
banded,10,1,100000,-0.1914482129868309,-0.04746098623353068,-0.45547428574916315,-0.12275846941536639,0.256140350877193,0.16384945263152778,0.5263157894736842,57
fixed,15,3,50000,-0.15529192252162027,0.07318483028332001,-0.45978641096598344,-0.11388686021566463,0.20526315789473684,0.2382844917466954,0.47368421052631576,57
fixed,30,2,50000,-0.15766197458466424,0.31062100886915855,-0.5308976865810369,-0.10550231366667595,0.22923976608187135,0.4416862258597747,0.47368421052631576,57
fixed,20,3,50000,-0.16827122133779193,0.10568204035351036,-0.5506989168522541,-0.10979349812309414,0.1991228070175439,0.28344145164037104,0.47368421052631576,57
fixed,15,1,100000,-0.2012635414348568,0.05532724929164878,-0.5530739085288332,-0.12510189813268657,0.36315789473684207,0.27852707358544876,0.49122807017543857,57
daily,15,1,100000,-0.2012635414348568,0.05532724929164878,-0.5530739085288332,-0.12510189813268657,0.36315789473684207,0.27852707358544876,0.49122807017543857,57
fixed,20,2,50000,-0.19666465203965489,0.16109473163984056,-0.6326256635133849,-0.11711668055943714,0.25614035087719306,0.3674791102986782,0.43859649122807015,57
fixed,5,1,1000000,-0.288933461598077,-0.11880095845212035,-0.6400239989650848,-0.16705888620566212,0.4228070175438597,0.2141204210526316,0.43859649122807015,57
daily,5,1,1000000,-0.288933461598077,-0.11880095845212035,-0.6400239989650848,-0.16705888620566212,0.4228070175438597,0.2141204210526316,0.43859649122807015,57
daily,5,1,300000,-0.288933461598077,-0.11880095845212035,-0.6400239989650848,-0.16705888620566212,0.4228070175438597,0.2141204210526316,0.43859649122807015,57
fixed,5,1,300000,-0.288933461598077,-0.11880095845212035,-0.6400239989650848,-0.16705888620566212,0.4228070175438597,0.2141204210526316,0.43859649122807015,57
fixed,5,1,100000,-0.29014224222591567,-0.11880095845212035,-0.6442878626312329,-0.16713721016691385,0.4228070175438597,0.21583079274749775,0.43859649122807015,57
daily,5,1,100000,-0.29014224222591567,-0.11880095845212035,-0.6442878626312329,-0.16713721016691385,0.4228070175438597,0.21583079274749775,0.43859649122807015,57
banded,15,1,50000,-0.212506872988941,0.009781097911647496,-0.6443643998194692,-0.12346445521716332,0.21461988304093568,0.24857303462907188,0.5263157894736842,57
banded,10,1,50000,-0.24452523169823148,-0.04746098623353068,-0.6544762249146805,-0.12937365085962482,0.256140350877193,0.23168660540740973,0.5263157894736842,57
fixed,5,3,300000,-0.26837107070914923,-0.1733492301195595,-0.7310370049407326,-0.14108446255394236,0.24035087719298245,0.12124294736842106,0.49122807017543857,57
fixed,5,3,1000000,-0.26837107070914923,-0.1733492301195595,-0.7310370049407326,-0.14108446255394236,0.24035087719298245,0.12124294736842106,0.49122807017543857,57
fixed,5,3,100000,-0.26997784872755726,-0.1733492301195595,-0.7373112366816655,-0.14110692782646705,0.24035087719298245,0.12343144327625856,0.49122807017543857,57
fixed,10,1,50000,-0.2614844959788427,0.05165547545504823,-0.7474909670374532,-0.1424659919860104,0.39298245614035093,0.35326063455291606,0.5087719298245614,57
daily,10,1,50000,-0.2614844959788427,0.05165547545504823,-0.7474909670374532,-0.1424659919860104,0.39298245614035093,0.35326063455291606,0.5087719298245614,57
banded,20,1,50000,-0.23731344612169125,0.02023014448913063,-0.7589487741163887,-0.129433409737146,0.20350877192982456,0.29020304790454055,0.49122807017543857,57
daily,5,1,50000,-0.32824598850903863,-0.11880095845212035,-0.7799758241653724,-0.17205081694875968,0.4228070175438597,0.2708906552959377,0.43859649122807015,57
fixed,5,1,50000,-0.32824598850903863,-0.11880095845212035,-0.7799758241653724,-0.17205081694875968,0.4228070175438597,0.2708906552959377,0.43859649122807015,57
banded,5,1,300000,-0.33855210949919845,-0.233093121589112,-0.7962443970739783,-0.1630440681864911,0.29298245614035084,0.14803452631578948,0.45614035087719296,57
banded,5,1,1000000,-0.33855210949919845,-0.233093121589112,-0.7962443970739783,-0.1630440681864911,0.29298245614035084,0.14803452631578948,0.45614035087719296,57
banded,5,1,100000,-0.33922620056317687,-0.233093121589112,-0.7987728028804628,-0.1630890001277332,0.29298245614035084,0.14906118241333524,0.45614035087719296,57
fixed,5,3,50000,-0.29364666001958795,-0.1733492301195595,-0.8302510615885869,-0.142017807800208,0.24035087719298245,0.15613202726146158,0.49122807017543857,57
banded,5,1,50000,-0.3637440222881484,-0.233093121589112,-0.8908385208204264,-0.1663038192800057,0.29298245614035084,0.18688638962461004,0.45614035087719296,57
fixed,20,1,50000,-0.27803557906344045,0.18520440307645392,-0.9359027193194395,-0.12721743076133285,0.3456140350877194,0.49540185556892724,0.5087719298245614,57
daily,20,1,50000,-0.27803557906344045,0.18520440307645392,-0.9359027193194395,-0.12721743076133285,0.3456140350877194,0.49540185556892724,0.5087719298245614,57
daily,15,1,50000,-0.30921561130395725,0.05532724929164878,-1.0112027471607599,-0.13798652227197994,0.36315789473684207,0.42356641081575663,0.43859649122807015,57
fixed,15,1,50000,-0.30921561130395725,0.05532724929164878,-1.0112027471607599,-0.13798652227197994,0.36315789473684207,0.42356641081575663,0.43859649122807015,57
fixed,5,2,300000,-0.4178858616499789,-0.3243550911754133,-1.241516762148774,-0.1628467189808841,0.29298245614035084,0.14803452631578948,0.43859649122807015,57
